,Id,ActivityDate,DayOfTheWeek,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,TotalExerciseMinutes,TotalExerciseHours,Calories
0,1503960366,12-04-2016,Tuesday,13162,8.5,8.5,0,1.879999995,0.550000012,6.059999943,0,25,13,328,728,1094,18.23333333,1985
1,1503960366,13-04-2016,Wednesday,10735,6.96999979,6.96999979,0,1.570000052,0.689999998,4.710000038,0,21,19,217,776,1033,17.21666667,1797
2,1503960366,14-04-2016,Thursday,10460,6.739999771,6.739999771,0,2.440000057,0.400000006,3.910000086,0,30,11,181,1218,1440,24,1776
3,1503960366,15-04-2016,Friday,9762,6.28000021,6.28000021,0,2.140000105,1.25999999,2.829999924,0,29,34,209,726,998,16.63333333,1745
4,1503960366,16-04-2016,Saturday,12669,8.159999847,8.159999847,0,2.710000038,0.409999996,5.039999962,0,36,10,221,773,1040,17.33333333,1863
5,1503960366,17-04-2016,Sunday,9705,6.480000019,6.480000019,0,3.190000057,0.779999971,2.50999999,0,38,20,164,539,761,12.68333333,1728
6,1503960366,18-04-2016,Monday,13019,8.590000153,8.590000153,0,3.25,0.639999986,4.710000038,0,42,16,233,1149,1440,24,1921
7,1503960366,19-04-2016,Tuesday,15506,9.880000114,9.880000114,0,3.529999971,1.320000052,5.03000021,0,50,31,264,775,1120,18.66666667,2035
8,1503960366,20-04-2016,Wednesday,10544,6.679999828,6.679999828,0,1.960000038,0.479999989,4.239999771,0,28,12,205,818,1063,17.71666667,1786
9,1503960366,21-04-2016,Thursday,9819,6.340000153,6.340000153,0,1.340000033,0.349999994,4.650000095,0,19,8,211,838,1076,17.93333333,1775
10,1503960366,22-04-2016,Friday,12764,8.130000114,8.130000114,0,4.760000229,1.120000005,2.24000001,0,66,27,130,1217,1440,24,1827
11,1503960366,23-04-2016,Saturday,14371,9.039999962,9.039999962,0,2.809999943,0.870000005,5.360000134,0,41,21,262,732,1056,17.6,1949
